Ticker,Company,Industry,MarketCap
MMM,3M,Industrials,74239696896
AOS,A. O. Smith,Industrials,11485293568
ABT,Abbott Laboratories,Health Care,207726657536
ABBV,AbbVie,Health Care,333590953984
ACN,Accenture,Information Technology,235483217920
ADBE,Adobe Inc.,Information Technology,217854984192
AMD,Advanced Micro Devices,Information Technology,252434333696
AES,AES Corporation,Utilities,12419842048
AFL,Aflac,Financials,64122974208
A,Agilent Technologies,Health Care,39889747968
APD,Air Products,Materials,73830481920
ABNB,Airbnb,Consumer Discretionary,86294110208
AKAM,Akamai Technologies,Information Technology,16163277824
ALB,Albemarle Corporation,Materials,11182089216
ARE,Alexandria Real Estate Equities,Real Estate,21304238080
ALGN,Align Technology,Health Care,16410953728
ALLE,Allegion,Industrials,13361965056
LNT,Alliant Energy,Utilities,15946604544
ALL,Allstate,Financials,51585687552
GOOGL,Alphabet Inc. (Class A),Communication Services,2020802691072
GOOG,Alphabet Inc. (Class C),Communication Services,2020806230016
MO,Altria,Consumer Staples,84645576704
AMZN,Amazon,Consumer Discretionary,1983563431936
AMCR,Amcor,Materials,16245621760
AMTM,Amentum,Industrials,7128748544
AEE,Ameren,Utilities,23704020992
AEP,American Electric Power,Utilities,53579165696
AXP,American Express,Financials,194983329792
AIG,American International Group,Financials,50582351872
AMT,American Tower,Real Estate,105700655104
AWK,American Water Works,Utilities,27662753792
AMP,Ameriprise Financial,Financials,51368398848
AME,Ametek,Industrials,39222198272
AMGN,Amgen,Health Care,172837257216
APH,Amphenol,Information Technology,81241407488
ADI,Analog Devices,Information Technology,113364246528
ANSS,Ansys,Information Technology,28610371584
AON,Aon,Financials,77757423616
APA,APA Corporation,Energy,9306809344
AAPL,Apple Inc.,Information Technology,3572963475456
AMAT,Applied Materials,Information Technology,153635930112
APTV,Aptiv,Consumer Discretionary,16860730368
ACGL,Arch Capital Group,Financials,40813572096
ADM,Archer Daniels Midland,Consumer Staples,26967209984
ANET,Arista Networks,Information Technology,126289502208
AJG,Arthur J. Gallagher & Co.,Financials,63374675968
AIZ,Assurant,Financials,10229176320
T,AT&T,Communication Services,156669739008
ATO,Atmos Energy,Utilities,22238676992
ADSK,Autodesk,Information Technology,63141978112
ADP,Automatic Data Processing,Industrials,119203463168
AZO,AutoZone,Consumer Discretionary,53859717120
AVB,AvalonBay Communities,Real Estate,32303167488
AVY,Avery Dennison,Materials,17499217920
AXON,Axon Enterprise,Industrials,33105321984
BKR,Baker Hughes,Energy,36415287296
